Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2E-A9G8	0.0665071451854713	0	0.217828244734054	0.0708800366092103	0	0.223385000589486	0	0.14360275902323	0.000761110565259751	0	0.0132988488031322	0.0400265763280706	0.00497871725486878	0.0768605149381808	0.0817752015467893	0.0555290231326431	0	0.00456682128960322	0	0	0	0	0	0.364905771337831	0.941083544465927
TCGA-4E-A92E	0.047311498009775	0	0.0113503546788472	0.187490347253872	0	0.136056657617312	0	0.179287901995182	0	0	0	0.0990051477610537	0.035868361295998	0.0753806377556151	0.144072871171775	0.0449406153651788	0	0.000582109684747572	0	0.0386534974106441	0	0	0.17	0.100708432555952	1.06793345510693
TCGA-5B-A90C	0.147571510681566	0	0.0813001059477323	0.0569242761683509	0	0.0875735885654522	0	0.112126312923191	0.0129725504358509	0	0	0.0434639572642944	0.00341604569832098	0.118083783003132	0.0531751726153543	0.133486895202225	0	0.141848053619541	0	0.00805774787498919	0	0	0.09	0.122978789941848	1.04114318388999
TCGA-5S-A9Q8	0.0514467814967498	0	0	0	0	0.108499865589157	0	0.2340120873566	0	0	0.0296156497043305	0.0971329949083496	0	0.397815867305924	0.0129990144169341	0.043685182497971	0	0.0215032725089356	0.00328928421504849	0	0	0	0.09	0.118283392692869	1.06784218570797
TCGA-A5-A0G1	0.0210088214484175	0	0.0208144492006855	0.38222374056724	0	0.0420259227697088	0.0540399100949522	0.102641562099859	0.0781154896780375	0	0.082217180791427	0.0353513748090037	0.0347646036466011	0.0272993136612332	0.0429046548906203	0.020411893532778	0.000700824783942919	0.000653309052740243	0.0548269489727527	0	0	0	0	0.317005545547541	0.972644734150667
TCGA-A5-A0G2	0.0291936166449359	0	0.127936909078828	0.158469535049596	0	0.149328681560389	0	0.146530932133916	0.0288997800399112	0	0.0127234225199738	0.0420399107752519	0.0161973302150853	0.0604756219952678	0.10006998116916	0.128134278817686	0	0	0	0	0	0	0.01	0.230509083599674	0.998796531665075
TCGA-A5-A0G3	0.0534028377936769	0	0.0622867646989494	0.0721119391422968	0	0	0	0.151168005847925	0.0187898139660836	0	0.0147185504476232	0	0	0.355571211300538	0	0.174877150492895	0	0.0281437488701743	0.0689299774398378	0	0	0	0.12	0.109679903797336	1.0620286714092
TCGA-A5-A0G5	0.0447941271058794	0	0.0981069766881777	0.215072432866969	0	0.141635811209061	0.0597455012298907	0.0445997720138689	0.0538131574148026	0	0.0529239887873219	0	0.0161395137361497	0.120258558066398	0.0460086682238314	0.0879549849754586	0	0	0.0189465076821912	0	0	0	0.01	0.239499419554305	0.990755155008381
TCGA-A5-A0G9	0	0.0370274627713718	0	0.0185233313791047	0	0.0805940714447164	0	0.106504022427508	0.0690438381278509	0	0.00085915387559843	0.10750750410666	0.00873168304567647	0.13099551586446	0.00752301369934281	0.389544964935219	0	0.0158143110150389	0	0.0273311273074526	0	0	0.36	0.0524993432501459	1.07449054181085
TCGA-A5-A0GA	0.0568699769186353	0	0.0759215663703819	0.241335241176584	0	0.0279258204907837	0	0.177868493199592	0.00295276522912861	0	0	0.0868769839980871	0.0269100061540044	0.0141807937392146	0.034876008433449	0.0412555487323457	0	0.12429460224409	0	0.0760916258914387	0	0.0126405674222658	0.04	0.18434869109145	1.01873100821119
