NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
GO_ANTIGEN_BINDING,GO_ANTIGEN_BINDING,Details ...,40,0.7076923,5.015508,0,0,0,134,"tags=100%, list=37%, signal=141%"
GO_ADAPTIVE_IMMUNE_RESPONSE,GO_ADAPTIVE_IMMUNE_RESPONSE,Details ...,41,0.68239987,4.918217,0,0,0,134,"tags=98%, list=37%, signal=137%"
GO_LEUKOCYTE_MEDIATED_IMMUNITY,GO_LEUKOCYTE_MEDIATED_IMMUNITY,Details ...,40,0.67615384,4.8154173,0,0,0,126,"tags=95%, list=35%, signal=129%"
GO_COMPLEMENT_ACTIVATION,GO_COMPLEMENT_ACTIVATION,Details ...,36,0.69258696,4.789371,0,0,0,126,"tags=97%, list=35%, signal=134%"
GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,Details ...,37,0.695534,4.7762213,0,0,0,126,"tags=97%, list=35%, signal=134%"
GO_B_CELL_MEDIATED_IMMUNITY,GO_B_CELL_MEDIATED_IMMUNITY,Details ...,36,0.69258696,4.694121,0,0,0,126,"tags=97%, list=35%, signal=134%"
GO_LYMPHOCYTE_MEDIATED_IMMUNITY,GO_LYMPHOCYTE_MEDIATED_IMMUNITY,Details ...,36,0.69258696,4.652093,0,0,0,126,"tags=97%, list=35%, signal=134%"
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,Details ...,36,0.69258696,4.630638,0,0,0,126,"tags=97%, list=35%, signal=134%"
GO_FC_RECEPTOR_SIGNALING_PATHWAY,GO_FC_RECEPTOR_SIGNALING_PATHWAY,Details ...,32,0.7147147,4.6216884,0,0,0,126,"tags=100%, list=35%, signal=139%"
GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY,GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY,Details ...,38,0.669081,4.608292,0,0,0,126,"tags=95%, list=35%, signal=130%"
GO_ACTIVATION_OF_IMMUNE_RESPONSE,GO_ACTIVATION_OF_IMMUNE_RESPONSE,Details ...,37,0.6654582,4.4971757,0,0,0,126,"tags=95%, list=35%, signal=130%"
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,Details ...,29,0.7083333,4.4516635,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,Details ...,29,0.7083333,4.4479423,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_FCGR_ACTIVATION,REACTOME_FCGR_ACTIVATION,Details ...,29,0.7083333,4.4446507,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,Details ...,31,0.71257484,4.4338627,0,0,0,126,"tags=100%, list=35%, signal=140%"
GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,Details ...,39,0.61522734,4.3934517,0,0,0,126,"tags=90%, list=35%, signal=122%"
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,Details ...,29,0.7083333,4.3686256,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_HUMORAL_IMMUNE_RESPONSE,GO_HUMORAL_IMMUNE_RESPONSE,Details ...,39,0.6163285,4.3584194,0,0,0,135,"tags=92%, list=37%, signal=131%"
REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,Details ...,28,0.7062315,4.3536615,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_REGULATION_OF_IMMUNE_RESPONSE,GO_REGULATION_OF_IMMUNE_RESPONSE,,42,0.60231465,4.3517203,0,0,0,126,"tags=88%, list=35%, signal=119%"
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,,44,0.58637786,4.3193827,0,0,0,126,"tags=86%, list=35%, signal=116%"
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,,28,0.7062315,4.318077,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,,28,0.7062315,4.296791,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,,31,0.67732275,4.2919173,0,0,0,126,"tags=97%, list=35%, signal=135%"
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,,31,0.67732275,4.2834973,0,0,0,126,"tags=97%, list=35%, signal=135%"
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,,27,0.70414203,4.264565,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY,GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY,,28,0.7062315,4.2625923,0,0,0,126,"tags=100%, list=35%, signal=141%"
GO_PHAGOCYTOSIS,GO_PHAGOCYTOSIS,,39,0.61522734,4.2486973,0,0,0,126,"tags=90%, list=35%, signal=122%"
REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION,REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION,,27,0.70414203,4.2408156,0,0,0,126,"tags=100%, list=35%, signal=141%"
REACTOME_COMPLEMENT_CASCADE,REACTOME_COMPLEMENT_CASCADE,,30,0.6741294,4.2373576,0,0,0,126,"tags=97%, list=35%, signal=135%"
GO_IMMUNE_EFFECTOR_PROCESS,GO_IMMUNE_EFFECTOR_PROCESS,,45,0.56631947,4.2307777,0,0,0,126,"tags=84%, list=35%, signal=113%"
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,,27,0.70414203,4.2299404,0,0,0,126,"tags=100%, list=35%, signal=141%"
