"gene.id","adj.P.Val","logFC"
"ENSG00000116183",1.36727835946474e-18,-4.01452287819059
"ENSG00000184697",2.58113216397356e-21,-3.65673702063597
"ENSG00000143320",1.79944374234659e-104,-3.34594013884208
"ENSG00000178522",2.06161505526233e-05,-3.15241782400034
"ENSG00000105141",1.24075825767348e-10,-2.76498210118859
"ENSG00000073067",8.55981894945788e-10,-2.76134531630014
"ENSG00000142449",5.23363050281777e-21,-2.72018873139327
"ENSG00000198910",9.74233639420624e-18,-2.62019516290738
"ENSG00000227801",8.35532269072401e-07,-2.60051617750334
"ENSG00000186732",1.56545281998328e-05,-2.56828559327523
"ENSG00000186191",1.34366405730242e-05,-2.50153632263038
"ENSG00000126233",5.93889582579702e-05,-2.45195744231877
"ENSG00000154764",2.48772124021559e-14,-2.44327247527876
"ENSG00000143194",9.48453606680378e-10,-2.44024058567467
"ENSG00000178602",9.44502262777814e-05,-2.43596490466148
"ENSG00000213937",6.46825065426074e-24,-2.4110654765871
"ENSG00000188580",2.42681240970001e-06,-2.36647466960368
"ENSG00000168081",3.62151689405782e-14,-2.34990970054312
"ENSG00000214617",1.40204914726287e-12,-2.33472644948817
"ENSG00000101282",4.90831227999966e-14,-2.32877083490559
"ENSG00000135346",0.000433174243911112,-2.31389547294085
"ENSG00000112195",1.80979378359289e-08,-2.27596418308036
"ENSG00000125931",0.000200078461970266,-2.27178959986362
"ENSG00000143556",0.00814129014697313,-2.2695950263914
"ENSG00000223591",4.13839275841159e-06,-2.26433311255074
"ENSG00000183632",2.89424396169138e-06,-2.23323846952158
"ENSG00000101188",1.34366405730242e-05,-2.1998856989721
"ENSG00000105048",7.74353186620668e-14,-2.19982399469995
"ENSG00000175229",4.63763766480874e-12,-2.15127426655526
"ENSG00000183837",3.09402977733161e-12,-2.10968758514235
"ENSG00000154277",1.84354182979334e-14,-2.10088747204779
"ENSG00000283706",5.57050131472181e-12,-2.0745963771771
"ENSG00000137285",5.39766518977836e-11,-2.0599154816683
"ENSG00000163064",0.00405243371085762,-2.05773810390519
"ENSG00000102243",7.95500489997269e-14,-2.05390835024407
"ENSG00000135925",6.75183673227322e-18,-2.01715914567829
"ENSG00000167614",0.00183429522597997,-2.00238461212411
"ENSG00000205307",0.00132019604885354,-1.987022136239
"ENSG00000173253",0.00546816525027699,-1.9835808993888
"ENSG00000099984",0.00393455156724381,-1.97519465077125
"ENSG00000122756",1.32610678714696e-10,-1.97338517696344
"ENSG00000115155",9.3466688988202e-05,-1.97335515822469
"ENSG00000109193",0.000271703236845237,-1.9729536938173
"ENSG00000182912",5.68172590087187e-05,-1.96780982958719
"ENSG00000073792",2.38442302054089e-14,-1.96125769399127
"ENSG00000106689",0.00596467271274991,-1.94119329519368
"ENSG00000145721",4.66243142288305e-14,-1.92830305923224
"ENSG00000095713",7.05041366920323e-11,-1.92730958344185
"ENSG00000143546",0.00814129014697313,-1.92394357356217
"ENSG00000104833",3.02544122125782e-08,-1.92278149026435
"ENSG00000118298",5.26736997800387e-06,-1.9112603857515
"ENSG00000101198",7.91834013806935e-12,-1.90896789306082
"ENSG00000169035",2.50516090451671e-10,-1.90883680712371
"ENSG00000129455",6.75105687480831e-08,-1.90788252874687
"ENSG00000187922",2.05717348133653e-14,-1.88734799465009
"ENSG00000167754",1.2655649095961e-08,-1.87422026654015
"ENSG00000072041",4.27935341049396e-09,-1.86835055528674
"ENSG00000176887",1.47280898482667e-12,-1.8654566375779
"ENSG00000196104",1.95555969725702e-10,-1.86525465291736
"ENSG00000075891",2.07453258012936e-05,-1.85843756688065
"ENSG00000167755",1.5031808269859e-08,-1.85814680649997
"ENSG00000183908",0.00361993001512475,-1.84711726240626
"ENSG00000171033",2.52874970978346e-15,-1.82818399628695
"ENSG00000133067",3.66295559264077e-11,-1.82375160083557
"ENSG00000176076",0.0015538886252545,-1.82344597299467
"ENSG00000232541",0.00567011830502536,-1.80078471009906
"ENSG00000151025",1.04483080954382e-09,-1.78495663626824
"ENSG00000131055",0.000648882956149958,-1.7812899722612
"ENSG00000138100",0.00614938634307104,-1.77545617558619
"ENSG00000166426",4.8442720473694e-07,-1.77361148282817
"ENSG00000007038",5.11978496013425e-07,-1.76416477431537
"ENSG00000141744",2.3255427667408e-10,-1.74817171783083
"ENSG00000019505",2.20720609739889e-12,-1.7464434217043
"ENSG00000075461",9.30397133039563e-09,-1.72155887224147
"ENSG00000110375",4.08677464932205e-15,-1.71802883449449
"ENSG00000185652",0.00460195252572634,-1.7105286577523
"ENSG00000064195",8.22861332114434e-13,-1.70571653122057
"ENSG00000169427",1.31563604292444e-11,-1.66583458767231
"ENSG00000170382",8.64645902877127e-15,-1.65808424495213
"ENSG00000140557",2.54931260394279e-10,-1.65714754022364
"ENSG00000197353",1.17489996527565e-07,-1.6480831894567
"ENSG00000111186",0.00938631305358663,-1.64631516054762
"ENSG00000147889",6.4695563927547e-14,-1.63689520327636
"ENSG00000196132",3.68148873844014e-10,-1.63113438549508
"ENSG00000113361",2.3365973319088e-15,-1.63026598019217
"ENSG00000150556",2.75803484669065e-15,-1.624144924911
"ENSG00000262655",1.57027370822906e-08,-1.6215593038851
"ENSG00000006047",1.95555969725702e-10,-1.61515051306648
"ENSG00000149948",7.28726462912721e-14,-1.59025693638818
"ENSG00000070985",1.88786553063027e-10,-1.59017025562344
"ENSG00000116039",1.15796458099599e-13,-1.58894041253458
"ENSG00000241697",3.93685318465282e-09,-1.58118277282832
"ENSG00000186007",2.58155707976192e-09,-1.58078399512786
"ENSG00000178222",6.2294349849558e-10,-1.57968584489404
"ENSG00000092295",0.00673632017516663,-1.57696248565524
"ENSG00000067445",1.27889800028297e-14,-1.57454211345681
"ENSG00000130829",1.40167998072974e-09,-1.54724642833621
"ENSG00000170891",9.98951009337064e-10,-1.54018951342075
"ENSG00000269437",5.58290679713643e-06,-1.5269942780855
"ENSG00000105695",1.2259559907181e-07,-1.52370136118692
"ENSG00000175928",4.94547000808332e-07,-1.52011952825765
"ENSG00000215452",1.82681017447771e-09,-1.50398752855802
"ENSG00000135916",1.84428915695972e-19,-1.49101639430854
"ENSG00000259374",4.26346380310863e-09,-1.49038542572697
"ENSG00000124253",1.8376797728842e-06,-1.48899028041955
"ENSG00000163661",1.1163379508094e-11,-1.47902245038392
"ENSG00000160886",1.15796458099599e-13,-1.47429881993583
"ENSG00000085741",2.292346257809e-09,-1.47391187775125
"ENSG00000214860",7.81920148961523e-09,-1.46632137118935
"ENSG00000204983",2.05910921395794e-06,-1.46494695365685
"ENSG00000204065",1.21061905876793e-07,-1.45848690493171
"ENSG00000048540",5.22633858732079e-06,-1.45735873505093
"ENSG00000177791",1.11690663695871e-09,-1.45210016785272
"ENSG00000107147",1.04092792477767e-07,-1.43772992622569
"ENSG00000186081",2.54492216186144e-05,-1.43766063545864
"ENSG00000134121",4.51211741186289e-06,-1.43619479395793
"ENSG00000118137",1.7642561674626e-06,-1.42612754094028
"ENSG00000260428",2.57274492355717e-16,-1.42138797028227
"ENSG00000184194",2.21012194037528e-17,-1.41576253156826
"ENSG00000233831",1.13052529110399e-06,-1.41432019988287
"ENSG00000198768",2.2657145363943e-07,-1.41307141843175
"ENSG00000115596",6.85571220846362e-09,-1.40928012440156
"ENSG00000160678",1.98336709903274e-08,-1.4076562221583
"ENSG00000102678",3.94778013966583e-08,-1.40671174011365
"ENSG00000129152",6.32588895065772e-09,-1.40586395460972
"ENSG00000101144",2.68704932755432e-08,-1.40553561947805
"ENSG00000106633",1.16141004552565e-09,-1.39913731574641
"ENSG00000178934",2.88573286084039e-06,-1.39878539163355
"ENSG00000113946",4.75225445266737e-08,-1.39875897192719
"ENSG00000162951",1.42155675124864e-05,-1.39710297732402
"ENSG00000171094",3.2992754673237e-09,-1.38911704787124
"ENSG00000075340",1.22803444358367e-12,-1.38876617640004
"ENSG00000124440",6.00373116754534e-15,-1.38872652084102
"ENSG00000011677",4.53065769767285e-06,-1.38775945742575
"ENSG00000168135",2.40544036478582e-07,-1.38511577719684
"ENSG00000182379",2.0801277685694e-08,-1.38179397112654
"ENSG00000105737",4.36632020763997e-09,-1.37550559675249
"ENSG00000188517",1.53065656969702e-06,-1.37507277455669
"ENSG00000155760",2.20769268602197e-14,-1.37255697677191
"ENSG00000166924",5.65332569107317e-11,-1.36582454167364
"ENSG00000102854",1.42155675124864e-05,-1.36548935427576
"ENSG00000187244",1.02051418350392e-17,-1.35833243153631
"ENSG00000181690",4.53789844449821e-10,-1.35440504347608
"ENSG00000130433",3.09974195203412e-05,-1.35213438392805
"ENSG00000174498",2.73279188503215e-12,-1.34443363135473
"ENSG00000175868",1.42155675124864e-05,-1.3418439991865
"ENSG00000221866",1.29850881284667e-06,-1.33822606471355
"ENSG00000182256",9.54823256206645e-07,-1.3358110444501
"ENSG00000269405",2.88352273704216e-05,-1.3357360367278
"ENSG00000204060",1.97674442503811e-15,-1.33444428835525
"ENSG00000127252",1.38041578298455e-07,-1.33351629089257
"ENSG00000122585",2.08869879425387e-07,-1.33211559714638
"ENSG00000116661",1.84659573440021e-10,-1.32864290226762
"ENSG00000124092",3.09402977733161e-12,-1.32664500594417
"ENSG00000109101",1.31552658982187e-08,-1.31550846153451
"ENSG00000144868",2.96871108596759e-14,-1.31548823853445
"ENSG00000188051",3.8125977189193e-11,-1.30921331755069
"ENSG00000166407",7.60237335461716e-07,-1.30882451981825
"ENSG00000108813",1.62373850360113e-12,-1.30803772922241
"ENSG00000102683",7.44689203465646e-07,-1.30800018552474
"ENSG00000198759",2.50140969202598e-10,-1.30396400810071
"ENSG00000109819",4.99172097347296e-07,-1.30219163922312
"ENSG00000142549",6.98882283555681e-08,-1.30167042195447
"ENSG00000187664",1.49087309119743e-09,-1.30100680311878
"ENSG00000112280",4.79278904913569e-08,-1.29553199516539
"ENSG00000143631",1.8376797728842e-06,-1.29406102571954
"ENSG00000149256",1.46455257940888e-11,-1.28849813128241
"ENSG00000162631",6.43237394641484e-08,-1.28696046638424
"ENSG00000165409",3.80706304828232e-07,-1.28196239963856
"ENSG00000005102",3.55330858287328e-07,-1.28037214715466
"ENSG00000221946",7.9444424202913e-09,-1.27628571266145
"ENSG00000204347",1.69871948184008e-06,-1.27593604499671
"ENSG00000115041",4.51331167119647e-15,-1.27525710227577
"ENSG00000101134",5.67050914363213e-10,-1.27306191434553
"ENSG00000043039",1.04483080954382e-09,-1.26514673482547
"ENSG00000146700",7.89759786215236e-17,-1.26452426174178
"ENSG00000260903",4.99172097347296e-07,-1.2591311219767
"ENSG00000170786",1.022357610599e-05,-1.25532516450616
"ENSG00000132164",3.68229325537902e-08,-1.25479131061696
"ENSG00000133216",3.88507374759769e-16,-1.24911359475172
"ENSG00000116544",9.30397133039563e-09,-1.24840589054488
"ENSG00000082482",3.49848921298589e-07,-1.24625620533473
"ENSG00000259169",2.80774268633515e-06,-1.24370938158676
"ENSG00000100285",1.84654160361706e-05,-1.24167015282992
"ENSG00000108947",3.09996985428512e-09,-1.23651447683331
"ENSG00000148408",4.84026964928089e-06,-1.23446338952517
"ENSG00000147255",3.94188681929992e-07,-1.23180041782316
"ENSG00000105664",8.5367967948076e-05,-1.2276132911748
"ENSG00000117322",0.000119127302218224,-1.22121466813696
"ENSG00000140519",1.44315475835997e-05,-1.22002083000382
"ENSG00000164616",2.75720806273423e-08,-1.21930511802157
"ENSG00000173406",5.22633858732079e-06,-1.21910205254572
"ENSG00000105696",1.07827728582507e-07,-1.21486200296744
"ENSG00000198835",1.65380628334347e-14,-1.20905350550681
