"sample","CRABP2_val"
"TCGA-2E-A9G8","High"
"TCGA-4E-A92E","Low"
"TCGA-5B-A90C","High"
"TCGA-5S-A9Q8","Low"
"TCGA-A5-A0G1","High"
"TCGA-A5-A0G2","Low"
"TCGA-A5-A0G3","Low"
"TCGA-A5-A0G5","Low"
"TCGA-A5-A0G9","Low"
"TCGA-A5-A0GA","Low"
"TCGA-A5-A0GB","Low"
"TCGA-A5-A0GD","Low"
"TCGA-A5-A0GE","Low"
"TCGA-A5-A0GG","High"
"TCGA-A5-A0GH","Low"
"TCGA-A5-A0GI","Low"
"TCGA-A5-A0GJ","Low"
"TCGA-A5-A0GM","Low"
"TCGA-A5-A0GN","Low"
"TCGA-A5-A0GP","Low"
"TCGA-A5-A0GQ","Low"
"TCGA-A5-A0GR","Low"
"TCGA-A5-A0GU","Low"
"TCGA-A5-A0GV","High"
"TCGA-A5-A0GW","Low"
"TCGA-A5-A0GX","Low"
"TCGA-A5-A0R6","High"
"TCGA-A5-A0R7","Low"
"TCGA-A5-A0R8","Low"
"TCGA-A5-A0R9","Low"
"TCGA-A5-A0RA","Low"
"TCGA-A5-A0VO","Low"
"TCGA-A5-A0VP","Low"
"TCGA-A5-A0VQ","Low"
"TCGA-A5-A1OF","Low"
"TCGA-A5-A1OG","High"
"TCGA-A5-A1OH","High"
"TCGA-A5-A1OJ","Low"
"TCGA-A5-A1OK","Low"
"TCGA-A5-A2K2","Low"
"TCGA-A5-A2K3","High"
"TCGA-A5-A2K4","Low"
"TCGA-A5-A2K5","High"
"TCGA-A5-A2K7","Low"
"TCGA-A5-A3LO","High"
"TCGA-A5-A3LP","High"
"TCGA-A5-A7WJ","Low"
"TCGA-A5-A7WK","High"
"TCGA-A5-AB3J","Low"
"TCGA-AJ-A23M","High"
"TCGA-AJ-A23N","High"
"TCGA-AJ-A23O","Low"
"TCGA-AJ-A2QK","Low"
"TCGA-AJ-A2QL","Low"
"TCGA-AJ-A2QM","High"
"TCGA-AJ-A2QN","Low"
"TCGA-AJ-A2QO","Low"
"TCGA-AJ-A3BD","High"
"TCGA-AJ-A3BF","High"
"TCGA-AJ-A3BG","Low"
"TCGA-AJ-A3BH","Low"
"TCGA-AJ-A3BI","Low"
"TCGA-AJ-A3BK","Low"
"TCGA-AJ-A3EJ","High"
"TCGA-AJ-A3EK","Low"
"TCGA-AJ-A3EL","High"
"TCGA-AJ-A3EM","High"
"TCGA-AJ-A3I9","Low"
"TCGA-AJ-A3IA","High"
"TCGA-AJ-A3NC","Low"
"TCGA-AJ-A3NE","Low"
"TCGA-AJ-A3NF","High"
"TCGA-AJ-A3NG","High"
"TCGA-AJ-A3NH","High"
"TCGA-AJ-A3OJ","Low"
"TCGA-AJ-A3OK","Low"
"TCGA-AJ-A3OL","High"
"TCGA-AJ-A3QS","Low"
"TCGA-AJ-A3TW","Low"
"TCGA-AJ-A5DV","Low"
"TCGA-AJ-A5DW","Low"
"TCGA-AJ-A6NU","High"
"TCGA-AJ-A8CT","Low"
"TCGA-AJ-A8CV","Low"
"TCGA-AJ-A8CW","Low"
"TCGA-AP-A051","Low"
"TCGA-AP-A052","High"
"TCGA-AP-A054","Low"
"TCGA-AP-A056","Low"
"TCGA-AP-A059","Low"
"TCGA-AP-A05A","High"
"TCGA-AP-A05D","Low"
"TCGA-AP-A05H","High"
"TCGA-AP-A05J","High"
"TCGA-AP-A05N","Low"
"TCGA-AP-A05O","Low"
"TCGA-AP-A05P","High"
"TCGA-AP-A0L8","High"
"TCGA-AP-A0L9","Low"
"TCGA-AP-A0LD","High"
"TCGA-AP-A0LE","Low"
"TCGA-AP-A0LF","Low"
"TCGA-AP-A0LG","Low"
"TCGA-AP-A0LH","Low"
"TCGA-AP-A0LI","Low"
"TCGA-AP-A0LJ","Low"
"TCGA-AP-A0LL","Low"
"TCGA-AP-A0LM","Low"
"TCGA-AP-A0LN","Low"
"TCGA-AP-A0LO","Low"
"TCGA-AP-A0LP","Low"
"TCGA-AP-A0LS","Low"
"TCGA-AP-A0LT","Low"
"TCGA-AP-A0LV","High"
"TCGA-AP-A1DH","Low"
"TCGA-AP-A1DK","Low"
"TCGA-AP-A1DM","Low"
"TCGA-AP-A1DO","Low"
"TCGA-AP-A1DP","Low"
"TCGA-AP-A1DQ","High"
"TCGA-AP-A1DR","Low"
"TCGA-AP-A1DV","Low"
"TCGA-AP-A1E0","Low"
"TCGA-AP-A1E1","Low"
"TCGA-AP-A1E3","Low"
"TCGA-AP-A1E4","High"
"TCGA-AP-A3K1","High"
"TCGA-AP-A5FX","Low"
"TCGA-AW-A1PO","Low"
"TCGA-AX-A05S","High"
"TCGA-AX-A05T","Low"
"TCGA-AX-A05U","Low"
"TCGA-AX-A05W","Low"
"TCGA-AX-A05Y","High"
"TCGA-AX-A05Z","Low"
"TCGA-AX-A060","Low"
"TCGA-AX-A062","Low"
"TCGA-AX-A063","Low"
"TCGA-AX-A064","Low"
"TCGA-AX-A06B","Low"
"TCGA-AX-A06F","Low"
"TCGA-AX-A06H","Low"
"TCGA-AX-A06J","Low"
"TCGA-AX-A06L","Low"
"TCGA-AX-A0IS","Low"
"TCGA-AX-A0IU","High"
"TCGA-AX-A0IW","High"
"TCGA-AX-A0IZ","Low"
"TCGA-AX-A0J0","Low"
"TCGA-AX-A0J1","Low"
"TCGA-AX-A1C4","Low"
"TCGA-AX-A1C5","Low"
"TCGA-AX-A1C7","High"
"TCGA-AX-A1C8","Low"
"TCGA-AX-A1C9","High"
"TCGA-AX-A1CA","High"
"TCGA-AX-A1CC","Low"
"TCGA-AX-A1CE","High"
"TCGA-AX-A1CF","Low"
"TCGA-AX-A1CI","Low"
"TCGA-AX-A1CJ","Low"
"TCGA-AX-A1CK","Low"
"TCGA-AX-A1CN","Low"
"TCGA-AX-A2H2","High"
"TCGA-AX-A2H4","Low"
"TCGA-AX-A2H5","High"
"TCGA-AX-A2H7","Low"
"TCGA-AX-A2HA","Low"
"TCGA-AX-A2HC","Low"
"TCGA-AX-A2HD","Low"
"TCGA-AX-A2HG","Low"
"TCGA-AX-A2HH","High"
"TCGA-AX-A2HJ","Low"
"TCGA-AX-A2HK","High"
"TCGA-AX-A2IN","Low"
"TCGA-AX-A2IO","High"
"TCGA-AX-A3FS","Low"
"TCGA-AX-A3FT","High"
"TCGA-AX-A3FV","Low"
"TCGA-AX-A3FW","Low"
"TCGA-AX-A3FX","Low"
"TCGA-AX-A3FZ","High"
"TCGA-AX-A3G1","Low"
"TCGA-AX-A3G4","Low"
"TCGA-AX-A3G6","High"
"TCGA-AX-A3G7","High"
"TCGA-AX-A3G8","High"
"TCGA-AX-A3G9","Low"
"TCGA-AX-A3GB","Low"
"TCGA-AX-A3GI","Low"
"TCGA-B5-A0JN","High"
"TCGA-B5-A0JR","Low"
"TCGA-B5-A0JS","Low"
"TCGA-B5-A0JT","Low"
"TCGA-B5-A0JU","Low"
"TCGA-B5-A0JV","Low"
"TCGA-B5-A0JX","Low"
"TCGA-B5-A0JY","Low"
"TCGA-B5-A0JZ","Low"
"TCGA-B5-A0K0","Low"
"TCGA-B5-A0K1","Low"
"TCGA-B5-A0K2","Low"
"TCGA-B5-A0K3","High"
"TCGA-B5-A0K4","High"
"TCGA-B5-A0K6","Low"
"TCGA-B5-A0K7","Low"
"TCGA-B5-A0K8","Low"
"TCGA-B5-A0K9","High"
"TCGA-B5-A11E","Low"
"TCGA-B5-A11F","Low"
"TCGA-B5-A11G","Low"
"TCGA-B5-A11H","Low"
"TCGA-B5-A11I","High"
"TCGA-B5-A11J","Low"
"TCGA-B5-A11L","Low"
"TCGA-B5-A11M","Low"
"TCGA-B5-A11N","Low"
"TCGA-B5-A11O","Low"
"TCGA-B5-A11P","Low"
"TCGA-B5-A11Q","Low"
"TCGA-B5-A11R","Low"
"TCGA-B5-A11S","Low"
"TCGA-B5-A11U","Low"
